AB.CD,AC.BD,AD.BC,undetermined,f,ρ,k,m
35718,31440,31178,1664,0.07,12,500,100000
35463,31303,31536,1698,0.07,13,500,100000
35687,31469,31190,1654,0.07,14,500,100000
35870,31189,31229,1712,0.07,15,500,100000
35431,31328,31467,1774,0.07,16,500,100000
35611,31505,31153,1731,0.07,17,500,100000
35671,31336,31190,1803,0.07,18,500,100000
35836,31166,31245,1753,0.07,19,500,100000
36030,31193,30939,1838,0.07,20,500,100000
37832,30539,30520,1109,0.08,0,500,100000
37097,30941,30760,1202,0.08,1,500,100000
37089,30954,30688,1269,0.08,2,500,100000
37126,30907,30591,1376,0.08,3,500,100000
36508,30865,31243,1384,0.08,4,500,100000
36798,30756,31085,1361,0.08,5,500,100000
36432,31052,31108,1408,0.08,6,500,100000
36532,30828,31093,1547,0.08,7,500,100000
36456,31129,30853,1562,0.08,8,500,100000
36027,31161,31255,1557,0.08,9,500,100000
36324,30947,31152,1577,0.08,10,500,100000
36219,31048,31124,1609,0.08,11,500,100000
36498,30845,31115,1542,0.08,12,500,100000
36408,30922,31034,1636,0.08,13,500,100000
36292,30905,31073,1730,0.08,14,500,100000
36575,30874,30787,1764,0.08,15,500,100000
36476,30930,30912,1682,0.08,16,500,100000
36451,30847,30900,1802,0.08,17,500,100000
36504,30592,31110,1794,0.08,18,500,100000
36477,31147,30649,1727,0.08,19,500,100000
36461,30825,30898,1816,0.08,20,500,100000
38274,30360,30244,1122,0.09,0,500,100000
37648,30690,30410,1252,0.09,1,500,100000
37289,30651,30823,1237,0.09,2,500,100000
37282,30709,30647,1362,0.09,3,500,100000
37086,30777,30763,1374,0.09,4,500,100000
37116,30896,30525,1463,0.09,5,500,100000
36856,30843,30817,1484,0.09,6,500,100000
37131,30538,30828,1503,0.09,7,500,100000
37180,30655,30630,1535,0.09,8,500,100000
36975,30808,30677,1540,0.09,9,500,100000
37088,30596,30771,1545,0.09,10,500,100000
37116,30702,30559,1623,0.09,11,500,100000
37188,30641,30491,1680,0.09,12,500,100000
37109,30738,30499,1654,0.09,13,500,100000
37317,30244,30796,1643,0.09,14,500,100000
37159,30631,30596,1614,0.09,15,500,100000
37192,30453,30644,1711,0.09,16,500,100000
36907,30890,30458,1745,0.09,17,500,100000
37192,30548,30495,1765,0.09,18,500,100000
37449,30447,30423,1681,0.09,19,500,100000
37218,30515,30491,1776,0.09,20,500,100000
39118,29704,30036,1142,0.1,0,500,100000
38203,30369,30195,1233,0.1,1,500,100000
38271,30252,30196,1281,0.1,2,500,100000
37921,30263,30515,1301,0.1,3,500,100000
37936,30426,30335,1303,0.1,4,500,100000
37869,30476,30208,1447,0.1,5,500,100000
38162,30032,30299,1507,0.1,6,500,100000
37817,30212,30492,1479,0.1,7,500,100000
37706,30497,30295,1502,0.1,8,500,100000
37788,30043,30659,1510,0.1,9,500,100000
37797,30419,30138,1646,0.1,10,500,100000
37967,30443,30111,1479,0.1,11,500,100000
37810,30323,30170,1697,0.1,12,500,100000
37688,29892,30715,1705,0.1,13,500,100000
37907,30347,30100,1646,0.1,14,500,100000
37935,30309,30047,1709,0.1,15,500,100000
38103,30145,30004,1748,0.1,16,500,100000
37882,30165,30173,1780,0.1,17,500,100000
37701,30278,30303,1718,0.1,18,500,100000
38070,30094,30013,1823,0.1,19,500,100000
37901,30035,30277,1787,0.1,20,500,100000
